--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.000  000.000: --- NVIM STARTING ---
000.038  000.038: event init
000.282  000.244: early init
000.455  000.172: locale set
000.486  000.032: init first window
000.692  000.206: inits 1
000.696  000.004: window checked
000.698  000.003: parsing arguments
001.130  000.018  000.018: require('vim.shared')
001.174  000.023  000.023: require('vim.inspect')
001.197  000.018  000.018: require('vim._options')
001.198  000.066  000.026: require('vim._editor')
001.199  000.116  000.032: require('vim._init_packages')
001.200  000.385: init lua interpreter
001.365  000.165: expanding arguments
001.373  000.008: inits 2
001.522  000.150: init highlight
001.535  000.013: clear screen
001.574  000.004  000.004: require('vim.keymap')
002.178  000.642  000.638: require('vim._defaults')
002.179  000.002: init default mappings & autocommands
002.628  000.174  000.174: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/ftplugin.vim
002.830  000.167  000.167: sourcing /opt/homebrew/Cellar/neovim/0.10.1/share/nvim/runtime/indent.vim
003.864  000.478  000.478: require('fredriksvahn/options')
005.352  000.003  000.003: require('vim.F')
005.375  001.076  001.073: require('vim.diagnostic')
005.534  001.669  000.592: require('fredriksvahn/keymaps')
005.769  000.234  000.234: require('fredriksvahn/autocmds')
006.245  000.441  000.441: require('lazy')
006.270  000.013  000.013: require('ffi')
006.311  000.026  000.026: require('vim.fs')
006.538  000.223  000.223: require('vim.uri')
006.547  000.276  000.027: require('vim.loader')
006.912  000.349  000.349: require('lazy.stats')
007.654  000.720  000.720: require('lazy.core.util')
008.023  000.368  000.368: require('lazy.core.config')
008.522  000.245  000.245: require('lazy.core.handler')
009.418  000.233  000.233: require('lazy.pkg')
009.420  000.428  000.195: require('lazy.core.meta')
009.424  000.901  000.472: require('lazy.core.plugin')
009.427  001.402  000.257: require('lazy.core.loader')
010.822  000.087  000.087: require('lazy.async')
011.008  000.086  000.086: require('lazy.manage.process')
011.114  000.106  000.106: require('lazy.terminal')
011.117  000.294  000.102: require('lazy.manage.task')
011.119  000.717  000.336: require('lazy.manage.runner')
011.121  001.020  000.303: require('lazy.manage')
